Domain,Having_IP,Have_At_Sign,URL_Length,URL_Depth,Redirection,HTTP_Domain,Tiny_URL,Prefix_Suffix,Iframe,Mouse_Over,Right_Click,Forwarding,Label
aroma-italiano.xyz,0,0,0,0,0,0,0,1,1,1,1,1,phishing
bajer.info.pl,0,0,1,5,0,0,0,0,1,1,1,1,phishing
receba-emcasa-bahianiinho.com,0,0,1,2,0,0,0,1,1,1,1,1,phishing
djeane.com.pe,0,0,0,3,0,0,0,0,1,1,1,1,phishing
rplg.co,0,0,0,1,0,0,0,0,1,1,1,1,phishing
web-net-pg.joomla.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
paypal.com.service-verification.id65416598.quranlanguage.com,0,0,1,1,0,0,0,1,1,1,1,1,phishing
marufulislam.com,0,0,0,3,0,0,0,0,1,1,1,1,phishing
ctara.org,0,0,1,8,0,0,0,0,1,1,1,1,phishing
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
receba-emcasa-bahianiinho.com,0,0,1,2,0,0,0,1,1,1,1,1,phishing
leadingstarbd.com,0,1,1,2,0,0,0,0,1,1,1,1,phishing
1001golos.dxservice.ru,0,0,0,0,0,0,0,0,1,1,1,1,phishing
dotpay.i-dpd.pl,0,0,1,1,0,0,0,1,1,1,1,1,phishing
safgg34rfdfweqdas.epizy.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
ambitiousopponent.co.za,0,0,1,6,0,0,1,0,1,1,1,1,phishing
101.0.81.153,0,0,0,3,0,0,0,0,1,1,1,1,phishing
mycuhub.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
actiie844.coffeecup.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
viveromonteverde.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
southcountyclassified.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
momos-ambachtelijkeijs.nl,0,0,1,4,0,0,0,1,1,1,1,1,phishing
dawanasaiacademy.in,0,0,1,5,0,0,0,0,1,1,1,1,phishing
cartoworld.co.ke,0,0,1,3,0,0,0,0,1,1,1,1,phishing
getlikesfree.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
protikdevelopers.com,0,1,1,3,0,0,0,0,1,1,1,1,phishing
pfsoftware.in,0,0,0,2,0,0,0,0,1,1,1,1,phishing
fashionphotographycourse.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
mycarauctionad.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
aludagoglichidze.ge,0,0,0,1,0,0,0,0,1,1,1,1,phishing
stolizaparketa.ru,0,1,1,7,0,0,0,0,1,1,1,1,phishing
anbenig.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
magictriminc.com,0,0,1,10,0,0,0,0,1,1,1,1,phishing
apple.com.belgie.support,0,0,0,0,0,0,0,0,1,1,1,1,phishing
infopublishersassociation.com,0,0,1,8,0,0,0,0,1,1,1,1,phishing
mncelektronik.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
queenofsabaofficial.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
waimakexcavation.co.nz,0,0,0,2,0,0,0,0,1,1,1,1,phishing
windowinstallationtoronto.ca,0,0,1,3,0,0,0,0,1,1,1,1,phishing
aegisredmedia.com,0,0,1,7,0,0,0,0,1,1,1,1,phishing
cafecitoperez.ivanidzakovic.com,0,0,1,6,0,0,0,0,1,1,1,1,phishing
pontosvoegol.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
betasusturkiye.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,phishing
icloud.com.support-careplus.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
syshainc.com,0,0,1,3,0,0,0,0,1,1,1,1,phishing
verify.mythreeaccountlogin.com,0,0,0,0,0,0,0,0,1,1,1,1,phishing
onedrive.live.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
gioielleriaroberti.it,0,0,0,2,0,0,0,0,1,1,1,1,phishing
toywatchofficial.icu,0,0,0,2,0,0,0,0,1,1,1,1,phishing
tenzinngodup.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
titaniumdobrasil.com.br,0,0,1,4,0,0,0,0,1,1,1,1,phishing
cartoes-caixa.com,0,0,0,1,0,0,0,1,1,1,1,1,phishing
missingcalls.blob.core.windows.net,0,0,1,2,0,0,0,0,1,1,1,1,phishing
lisasnatural.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
signonv2screen.verificationbankofamericas.com.zases3.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
minagi.org,0,0,1,5,0,0,0,0,1,1,1,1,phishing
kurortnoye.com.ua,0,1,1,3,0,0,0,0,1,1,1,1,phishing
smspoint.biz,0,0,1,2,0,0,0,0,1,1,1,1,phishing
infopublishersassociation.com,0,0,1,8,0,0,0,0,1,1,1,1,phishing
mobileacesso24horas.com,0,0,0,1,0,0,0,0,1,1,1,1,phishing
southcountyclassified.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
drive.google.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,phishing
dipelnet.com.br,0,0,0,3,0,0,1,0,1,1,1,1,phishing
rohtolab.com,0,0,1,9,0,0,0,0,1,1,1,1,phishing
evanssupport.com,0,0,0,1,0,0,1,0,1,1,1,1,phishing
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,1,1,1,1,phishing
t.co,0,0,0,1,0,0,1,0,1,1,1,1,phishing
tasche.com.br,0,0,0,1,0,0,0,0,1,1,1,1,phishing
g4x.papernom.com,0,0,1,1,0,0,0,0,1,1,1,1,phishing
179.185.89.94,0,0,0,0,0,0,0,0,1,1,1,1,phishing
sms-vocale-profixe.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,phishing
pg-series-atendimento.joomla.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
touchbase.tools,0,0,1,5,0,0,0,0,1,1,1,1,phishing
evernote.com,0,0,1,4,0,0,0,0,1,1,1,1,phishing
snip.ly,0,0,0,1,0,0,0,0,1,1,1,1,phishing
8s8cyak8emzp3qvvwmgx5qnqjjr17xltp4haci3m.s3.ap-northeast-2.amazonaws.com,0,0,1,3,0,0,0,1,1,1,1,1,phishing
srvservkl.regenoptions.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
nsp.biz.ua,0,0,0,1,0,0,0,0,1,1,1,1,phishing
sedanepal.org.np,0,0,0,3,0,0,0,0,1,1,1,1,phishing
meljackson.net,0,0,0,1,0,0,0,0,1,1,1,1,phishing
lmy.de,0,0,0,1,0,0,0,0,1,1,1,1,phishing
591860.playcode.io,0,0,0,0,0,0,0,0,1,1,1,1,phishing
orthodoxhospital.co.ke,0,0,1,3,0,0,0,0,1,1,1,1,phishing
preparedplans.com,0,0,0,2,0,0,0,0,1,1,1,1,phishing
secure.runescape.rs-d.xyz,0,0,0,0,0,0,0,1,1,1,1,1,phishing
davinci-studia.ru,0,1,1,4,0,0,0,1,1,1,1,1,phishing
polish-books.pl,0,0,1,6,0,0,0,1,1,1,1,1,phishing
chase-verification.renser.us,0,0,1,2,0,0,0,1,1,1,1,1,phishing
forms.gle,0,0,0,1,0,0,0,0,1,1,1,1,phishing
